is_member,year,month,day,hour,recor_count
0,,07,Saturday,12,12700
0,,07,Saturday,13,14011
0,,07,Saturday,14,15417
0,,07,Saturday,15,15637
0,,07,Saturday,16,15524
0,,07,Saturday,17,15167
0,,07,Saturday,18,14023
0,,07,Saturday,19,12460
0,,07,Saturday,20,11655
0,,07,Saturday,21,11576
0,,07,Saturday,22,10088
0,,07,Saturday,23,9768
0,,07,Sunday,00,6940
0,,07,Sunday,01,5372
0,,07,Sunday,02,4249
0,,07,Sunday,03,3962
0,,07,Sunday,04,1489
0,,07,Sunday,05,555
0,,07,Sunday,06,453
0,,07,Sunday,07,719
0,,07,Sunday,08,1792
0,,07,Sunday,09,4188
0,,07,Sunday,10,8241
0,,07,Sunday,11,12079
0,,07,Sunday,12,14119
0,,07,Sunday,13,16514
0,,07,Sunday,14,18046
0,,07,Sunday,15,18336
0,,07,Sunday,16,17398
0,,07,Sunday,17,16301
0,,07,Sunday,18,14478
0,,07,Sunday,19,12363
0,,07,Sunday,20,10646
0,,07,Sunday,21,8375
0,,07,Sunday,22,6671
0,,07,Sunday,23,5088
0,,07,Thursday,00,2254
0,,07,Thursday,01,1578
0,,07,Thursday,02,847
0,,07,Thursday,03,651
0,,07,Thursday,04,264
0,,07,Thursday,05,207
0,,07,Thursday,06,502
0,,07,Thursday,07,1270
0,,07,Thursday,08,2838
0,,07,Thursday,09,2969
0,,07,Thursday,10,3950
0,,07,Thursday,11,5392
0,,07,Thursday,12,6269
0,,07,Thursday,13,6299
0,,07,Thursday,14,6742
0,,07,Thursday,15,7736
0,,07,Thursday,16,8258
0,,07,Thursday,17,9477
0,,07,Thursday,18,8528
0,,07,Thursday,19,7476
0,,07,Thursday,20,6587
0,,07,Thursday,21,5577
0,,07,Thursday,22,5247
0,,07,Thursday,23,4518
0,,07,Tuesday,00,1943
0,,07,Tuesday,01,1219
0,,07,Tuesday,02,692
0,,07,Tuesday,03,486
0,,07,Tuesday,04,193
0,,07,Tuesday,05,232
0,,07,Tuesday,06,516
0,,07,Tuesday,07,1448
0,,07,Tuesday,08,3273
0,,07,Tuesday,09,3457
0,,07,Tuesday,10,4628
0,,07,Tuesday,11,6135
0,,07,Tuesday,12,6733
0,,07,Tuesday,13,6926
0,,07,Tuesday,14,7376
0,,07,Tuesday,15,7861
0,,07,Tuesday,16,8358
0,,07,Tuesday,17,9590
0,,07,Tuesday,18,8545
0,,07,Tuesday,19,7602
0,,07,Tuesday,20,6415
0,,07,Tuesday,21,5318
0,,07,Tuesday,22,4635
0,,07,Tuesday,23,3594
0,,07,Wednesday,00,2315
0,,07,Wednesday,01,1528
0,,07,Wednesday,02,872
0,,07,Wednesday,03,628
0,,07,Wednesday,04,265
0,,07,Wednesday,05,215
0,,07,Wednesday,06,544
0,,07,Wednesday,07,1441
0,,07,Wednesday,08,3129
0,,07,Wednesday,09,3181
0,,07,Wednesday,10,4187
0,,07,Wednesday,11,5743
0,,07,Wednesday,12,6235
0,,07,Wednesday,13,6675
